item_name,brands,label
Bottle Coke Classic 20oz,coke,0
Bottle Coke Diet 20oz,coke,0
Bottle Pepsi 20oz,pepsi,1
Bottle Mountain Dew 20oz,pepsi,1
Bottle Coke Zero 20oz,coke,0
Diet Pepsi 20oz,pepsi,1
Bottle Mountain Dew Diet 20oz,pepsi,1
Soda Coke Classic 20oz B,coke,0
Soda Diet Coke 20oz Bott,coke,0
Bottle Coke Zero Cherry 20oz,coke,0
BVC - Bottle Coke Classic 20oz,coke,0
BVC - Bottle Coke Diet 20oz,coke,0
Bottle Coke Cherry 20oz,coke,0
Bottle Coke Classic 20oz,coke,0
Soda Pepsi 20oz Bottle,pepsi,1
BVC - Bottle Mountain Dew 20oz,pepsi,1
Soda Coke Zero 20oz Bott,coke,0
Coke Products 20oz,coke,0
BVC- Bottle Coke  Brand 20 oz.,coke,0
Bottle Pepsi Wild Cherry 20oz,pepsi,1
Soda Coke Classic 20oz Bottle,coke,0
Soda Mountain Dew 20oz B,pepsi,1
Bottle Mountain Dew 20oz,pepsi,1
BVC - Bottle Coke Zero 20oz,coke,0
Bottle Pepsi 20oz,pepsi,1
Soda Diet Coke 20oz Bottle,coke,0
Bottle Coke Diet 20oz,coke,0
Soda Pepsi Diet 20oz,pepsi,1
Coke 20 oz  Bottle,coke,0
BVC - Bottle Pepsi 20oz,pepsi,1
Pepsi Max Zero Sugar 20oz,pepsi,1
Soda Coke Zero 20oz Bottle,coke,0
Soda Mountain Dew 20oz Bottle,pepsi,1
Soda Mountain Dew Diet 2,pepsi,1
BVC - Bottle Mountain Dew Diet 20oz,pepsi,1
Bottle Pepsi Max 20oz,pepsi,1
Coke 16 fl oz Bottle,coke,0
Mountain Dew Zero Sugar 20oz,pepsi,1
Soda Pepsi 20oz Bottle,pepsi,1
Bottle Mountain Dew Diet 20oz,pepsi,1
Soda Coke Zero Cherry 20,coke,0
Bottle Pepsi Max 20oz,pepsi,1
Soda Cherry Coke 20oz Bo,coke,0
Bottle Coke Zero 20oz,coke,0
Coke 12oz Can,coke,0
Soda Mountain Dew Ice Le,pepsi,1
Soda Mountain Dew Diet 20oz Bott,pepsi,1
bottle Coke,coke,0
BVC - Bottle Coke Cherry 20oz,coke,0
BVC - Bottle Coke Zero Cherry 20oz,coke,0
Pepsi 12oz Can,pepsi,1
Bottle Coke,coke,0
BVC - Bottle Coke Classi,coke,0
Bottle Mountain Dew Code Red 20oz,pepsi,1
BVC- Bottle Mountain Dew Flavors 20z,pepsi,1
BVC- Soda 20 oz Coke Reg,coke,0
Coke,coke,0
Diet Cherry Pepsi 20oz,pepsi,1
Soda Diet pepsi 20oz,pepsi,1
BVC- Soda 20 oz Coke Diet,coke,0
BVC - Bottle Pepsi Diet 20oz,pepsi,1
Bottle Pepsi Wild Cherry,pepsi,1
